hhno,pno,tour,pdpurp,half,tseg,mode,autotime,transittime,transitwait,transitwalk,biketime,walktime,tollcost,fuelcost,parkcost,farecost,travdist,expfactor
80,1,2,3,2,1,3,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
80,1,2,3,2,2,3,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
80,1,3,3,1,1,5,16.2,0,0,0,0,0,0,1.44,0,0,8,10000
80,1,3,3,2,1,4,16.2,0,0,0,0,0,0,1.44,0,0,8,10000
80,2,1,4,1,1,3,9,0,0,0,0,0,0,0.72,0,0,4,10000
80,2,1,4,1,2,3,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
80,2,1,4,2,1,3,9,0,0,0,0,0,0,0.72,0,0,4,10000
80,2,2,7,1,1,3,9,0,0,0,0,0,0,0.72,0,0,4,10000
80,2,2,7,2,1,3,9,0,0,0,0,0,0,0.72,0,0,4,10000
80,3,1,2,1,1,5,23.4,0,0,0,0,0,0,2.16,0,0,12,10000
80,3,1,2,2,1,5,23.4,0,0,0,0,0,0,2.16,0,0,12,10000
80,4,1,2,1,1,8,21.6,0,0,0,0,0,0,0,0,0,4,10000
80,4,1,2,2,1,8,21.6,0,0,0,0,0,0,0,0,0,4,10000
90,1,1,1,1,1,3,12.6,0,0,0,0,0,0,1.08,0,0,6,10000
90,1,1,1,2,1,3,12.6,0,0,0,0,0,0,1.08,0,0,6,10000
90,1,1,1,2,2,3,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
90,1,2,1,1,1,3,12.6,0,0,0,0,0,0,1.08,0,0,6,10000
90,1,2,1,1,2,4,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
90,1,2,1,2,1,3,12.6,0,0,0,0,0,0,1.08,0,0,6,10000
90,1,3,3,1,1,4,12.6,0,0,0,0,0,0,1.08,0,0,6,10000
90,1,3,3,1,2,4,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
90,1,3,3,2,1,3,12.6,0,0,0,0,0,0,1.08,0,0,6,10000
90,1,4,5,1,1,3,5.4,0,0,0,0,0,0,0.36,1.8,0,2,10000
90,1,4,5,2,1,3,5.4,0,0,0,0,0,0,0.36,0,0,2,10000
90,2,1,1,1,1,3,5.4,0,0,0,0,0,0,0.36,0,0,2,10000
90,2,1,1,2,1,3,5.4,0,0,0,0,0,0,0.36,0,0,2,10000
90,2,1,1,2,2,3,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
90,2,2,4,1,1,5,5.4,0,0,0,0,0,0,0.36,0,0,2,10000
90,2,2,4,2,1,5,5.4,0,0,0,0,0,0,0.36,0,0,2,10000
90,2,2,4,2,2,3,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
90,3,1,2,1,1,8,75.6,0,0,0,0,0,0,0,0,0,14,10000
90,3,1,2,2,1,8,75.6,0,0,0,0,0,0,0,0,0,14,10000
90,3,1,2,2,2,4,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
90,4,1,2,1,1,4,5.4,0,0,0,0,0,0,0.36,0,0,2,10000
90,4,1,2,1,2,4,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
90,4,1,2,2,1,4,5.4,0,0,0,0,0,0,0.36,0,0,2,10000
90,4,1,2,2,2,4,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
90,5,1,3,1,1,5,27,0,0,0,0,0,0,2.52,0,0,14,10000
90,5,1,3,1,2,5,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
90,5,1,3,2,1,5,27,0,0,0,0,0,0,2.52,0,0,14,10000
90,5,1,3,2,2,5,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
90,5,2,3,1,1,4,12.6,0,0,0,0,0,0,1.08,0,0,6,10000
90,5,2,3,1,2,1,0,0,0,0,0,9,0,0,0,0,0.5,10000
90,5,2,3,2,1,5,12.6,0,0,0,0,0,0,1.08,0,0,6,10000
100,1,1,4,1,1,3,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
100,1,1,4,2,1,3,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
100,1,2,4,1,1,3,23.4,0,0,0,0,0,0,2.16,0,0,12,10000
100,1,2,4,2,1,3,23.4,0,0,0,0,0,0,2.16,0,0,12,10000
